N° de ligne;CodeHier;CodeActe;Libellé;GestesComplémentaires;Modulateur;TypeLigne;Consigne de codage pour le PMSI;Action année N S: suppression/A : Ajout/M: Modification;Caractéristique modification à publier;Séance;Dédié;Non dédié;Collectif;Pluriprofessionnel;Appareillage avec étapes;Début de validité;Fin de validité;Pondération acte isolé - 2012-2018;Pondération étape A 2012-2018;Pondération étape B 2012-2018;Pondération étape C 2012-2018;Pondération + modulateur HW 2012-2018;Pondération + modulateur LJ 2012-2018;Pondération + modulateur QM2012-2018;Pondération + modulateur XH 2012-2018
487;01.02.02;ANR+094;Séance collective de réadaptation et/ou conservation de la coordination par les activités physiques et/ou sportives;;"QM;TF;RW;HW;LJ";L;"Peut, au plus,  être codé une fois le matin et l'après-midi, sans le modulateur QM ;
Peut, au plus,  être codé une fois le matin et l'après-midi, avec le modulateur QM ;";;Modulateur BN supprimé;oui;non;non;oui;non;non;"Version 2012 ; 30/03/2012";;14;;;;19;19;14;
488;01.02.02;ANR+094;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
489;01.02.02;ANR+094;développement des habiletés motrices et d'organisation :;;;N;;;;;;;;;;;;;;;;;;;
490;01.02.02;ANR+094;réalisation de tâches élémentaires telles que : dribbler, shooter;;;N2;;;;;;;;;;;;;;;;;;;
491;01.02.02;ANR+094;réalisation de tâches exigeant une coordination des bras et/ou des jambes telles que le saut à la corde;;;N2;;;;;;;;;;;;;;;;;;;
492;01.02.02;ANR+094;développement de la coordination entre la posture et le mouvement : réalisation d'exercices élémentaires tels que le déplacement d'un segment corporel ou d'exercices combinés tels que le tennis de table;;;N;;;;;;;;;;;;;;;;;;;
493;01.02.02;ANR+094;développement de la coordination des gestes volontaires lents puis rapides;;;N;;;;;;;;;;;;;;;;;;;
494;01.02.02;;;;;LV;;;;;;;;;;;;;;;;;;;
495;01.02.03;;Actes de prise en charge à visée thérapeutique des troubles des fonctions du langage et du calcul;;;T;;;;;;;;;;;;;;;;;;;
496;01.02.03;;Avec ou sans : utilisation des appareils auditifs, prothèses phonatoires ou autres dispositifs techniques pour la communication;;;NT;;;;;;;;;;;;;;;;;;;
497;01.02.03;;;;;LV;;;;;;;;;;;;;;;;;;;
498;01.02.03;GKR+181;Séance individuelle de rééducation du langage oral;;EZ;L;Peut, au plus,  être codé une fois le matin et l'après-midi;;Modulateur BN supprimé;oui;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;44;;;;;;;
499;01.02.03;GKR+181;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
500;01.02.03;GKR+181;rééducation des prérequis articulatoires;;;N;;;;;;;;;;;;;;;;;;;
501;01.02.03;GKR+181;rééducation des praxies buccofaciales;;;N;;;;;;;;;;;;;;;;;;;
502;01.02.03;GKR+181;rééducation de l'articulation des mots;;;N;;;;;;;;;;;;;;;;;;;
503;01.02.03;GKR+181;rééducation des aspects déficitaires du langage;;;N;;;;;;;;;;;;;;;;;;;
504;01.02.03;GKR+181;rééducation de la communication et des habiletés pragmatiques;;;N;;;;;;;;;;;;;;;;;;;
505;01.02.03;GKR+181;développement des compétences métalinguistiques;;;N;;;;;;;;;;;;;;;;;;;
506;01.02.03;GKR+181;éducation du patient et de son entourage à développer une communication adaptée;;;N;;;;;;;;;;;;;;;;;;;
507;01.02.03;GKR+213;Séance collective de rééducation du langage oral;;;L;Peut, au plus,  être codé une fois le matin et l'après-midi;;Modulateur BN supprimé;oui;non;non;oui;non;non;"Version 2012 ; 30/03/2012";;20;;;;;;;
508;01.02.03;GKR+213;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
509;01.02.03;GKR+213;rééducation des prérequis articulatoires;;;N;;;;;;;;;;;;;;;;;;;
510;01.02.03;GKR+213;rééducation des praxies buccofaciales;;;N;;;;;;;;;;;;;;;;;;;
511;01.02.03;GKR+213;rééducation de l'articulation des mots;;;N;;;;;;;;;;;;;;;;;;;
512;01.02.03;GKR+213;rééducation des aspects déficitaires du langage;;;N;;;;;;;;;;;;;;;;;;;
513;01.02.03;GKR+213;rééducation de la communication et des habiletés pragmatiques;;;N;;;;;;;;;;;;;;;;;;;
514;01.02.03;GKR+213;développement des compétences métalinguistiques;;;N;;;;;;;;;;;;;;;;;;;
515;01.02.03;GKR+213;éducation du patient et de son entourage à développer une communication adaptée;;;N;;;;;;;;;;;;;;;;;;;
516;01.02.03;GKR+091;Séance de rééducation du langage écrit;;EZ;L;Peut, au plus,  être codé une fois le matin et l'après-midi;M;"Modulateur BN supprimé ; caractère non dédié modifié";oui;oui;possible;non;non;non;"Version 2012 ; 30/03/2012";;44;;;;;;;
517;01.02.03;GKR+091;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
518;01.02.03;GKR+091;rééducation à l'orthographe et à la lecture;;;N;;;;;;;;;;;;;;;;;;;
519;01.02.03;GKR+091;exercices de relaxation;;;N;;;;;;;;;;;;;;;;;;;
520;01.02.03;GKR+091;rééducation de la dysgraphie;;;N;;;;;;;;;;;;;;;;;;;
521;01.02.03;GKR+091;information et/ou éducation du patient et de son entourage;;;N;;;;;;;;;;;;;;;;;;;
522;01.02.03;AKR+229;Séance individuelle de rééducation des troubles du raisonnement logique et mathématique;;EZ;L;Peut, au plus,  être codé une fois le matin et l'après-midi;;Modulateur BN supprimé;oui;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;31;;;;;;;
523;01.02.03;AKR+229;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
524;01.02.03;AKR+229;réalisation d'exercices mettant en jeu la pensée logique et mathématique;;;N;;;;;;;;;;;;;;;;;;;
525;01.02.03;AKR+229;apprentissage ou réapprentissage du calcul;;;N;;;;;;;;;;;;;;;;;;;
526;01.02.03;AKR+229;mise en situation de gestion de budget;;;N;;;;;;;;;;;;;;;;;;;
527;01.02.03;AKR+229;éducation du patient et de son entourage;;;N;;;;;;;;;;;;;;;;;;;
528;01.02.03;AKR+074;Séance collective de rééducation des troubles du raisonnement logique et mathématique;;;L;Peut, au plus,  être codé une fois le matin et l'après-midi;;Modulateur BN supprimé;oui;non;non;oui;non;non;"Version 2012 ; 30/03/2012";;20;;;;;;;
529;01.02.03;AKR+074;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
530;01.02.03;AKR+074;réalisation d'exercices mettant en jeu la pensée logique et mathématique;;;N;;;;;;;;;;;;;;;;;;;
531;01.02.03;AKR+074;apprentissage ou réapprentissage du calcul;;;N;;;;;;;;;;;;;;;;;;;
532;01.02.03;AKR+074;mise en situation de gestion de budget;;;N;;;;;;;;;;;;;;;;;;;
533;01.02.03;AKR+074;éducation du patient et de son entourage;;;N;;;;;;;;;;;;;;;;;;;
534;01.02.03;;;;;LV;;;;;;;;;;;;;;;;;;;
535;01.02.04;;Autres actes de prise en charge à visée thérapeutique des troubles des fonctions cérébrales;;;T;;;;;;;;;;;;;;;;;;;
536;01.02.04;;;;;LV;;;;;;;;;;;;;;;;;;;
537;01.02.04;ALT+074;Entretien psychologique individuel;;EZ;L;;;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;19;;;;;;;
538;01.02.04;ALT+074;Accompagnement de fin de vie;;;N;;;;;;;;;;;;;;;;;;;
539;01.02.04;ALT+074;Accompagnement d'annonce de diagnostic ou de pronostic;;;N;;;;;;;;;;;;;;;;;;;
540;01.02.04;ALT+074;Entretien d'orientation;;;N;;;;;;;;;;;;;;;;;;;
541;01.02.04;ALT+074;Aide aux aidants de patient atteint d'affection chronique;;;N;;;;;;;;;;;;;;;;;;;
542;01.02.04;ALT+074;À l'exclusion de :;;;N;;;;;;;;;;;;;;;;;;;
543;01.02.04;ALT+074;séance individuelle d'entretien psychologique à visée de réadaptation cognitive (ALT+145);;;N;;;;;;;;;;;;;;;;;;;
544;01.02.04;ALT+074;séance individuelle d'entretien psychologique à visée thérapeutique (ALT+220);;;N;;;;;;;;;;;;;;;;;;;
545;01.02.04;ALT+074;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
546;01.02.04;ALT+074;entretien d'accompagnement et de soutien du patient et/ou de son entourage;;;N;;;;;;;;;;;;;;;;;;;
547;01.02.04;ALT+074;identification et appréhension de la souffrance psychique;;;N;;;;;;;;;;;;;;;;;;;
548;01.02.04;ALT+074;mise en place et analyse de processus relationnel construit grâce à des attitudes psychothérapeutiques;;;N;;;;;;;;;;;;;;;;;;;
549;01.02.04;ALT+044;Entretien psychologique collectif;;;L;;;Modulateur BN supprimé;;non;non;oui;non;non;"Version 2012 ; 30/03/2012";;15;;;;;;;
550;01.02.04;ALT+044;Aide aux aidants de patient atteint d'affection chronique;;;N;;;;;;;;;;;;;;;;;;;
551;01.02.04;ALT+044;À l'exclusion de :;;;N;;;;;;;;;;;;;;;;;;;
552;01.02.04;ALT+044;séance collective d'entretien psychologique à visée de réadaptation cognitive (ALT+263);;;N;;;;;;;;;;;;;;;;;;;
553;01.02.04;ALT+044;séance collective d'entretien psychologique à visée thérapeutique (ALT+085);;;N;;;;;;;;;;;;;;;;;;;
554;01.02.04;ALT+044;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
555;01.02.04;ALT+044;groupe de parole pour les patients et/ou leur entourage;;;N;;;;;;;;;;;;;;;;;;;
556;01.02.04;ALT+044;identification et appréhension de la souffrance psychique;;;N;;;;;;;;;;;;;;;;;;;
557;01.02.04;ALT+044;mise en place et analyse de processus relationnel construit grâce à des attitudes psychothérapeutiques et fondé sur la dynamique de groupe;;;N;;;;;;;;;;;;;;;;;;;
558;01.02.04;ALT+220;Séance individuelle d'entretien psychologique à visée thérapeutique;;EZ;L;Peut, au plus,  être codé une fois le matin et l'après-midi;;Modulateur BN supprimé;oui;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;19;;;;;;;
559;01.02.04;ALT+220;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
560;01.02.04;ALT+220;engagement du patient ou d'un membre de son entourage dans une alliance thérapeutique et établissement d'un contrat de soins explicite;;;N;;;;;;;;;;;;;;;;;;;
561;01.02.04;ALT+220;construction d'hypothèse diagnostique psychopathologique et psychologique;;;N;;;;;;;;;;;;;;;;;;;
562;01.02.04;ALT+220;développement d'une compréhension évolutive et empathique du patient;;;N;;;;;;;;;;;;;;;;;;;
563;01.02.04;ALT+220;ajustement et actualisation des hypothèses selon l'évolution;;;N;;;;;;;;;;;;;;;;;;;
564;01.02.04;ALT+085;Séance collective d'entretien psychologique à visée thérapeutique;;;L;Peut, au plus,  être codé une fois le matin et l'après-midi;;Modulateur BN supprimé;oui;non;non;oui;non;non;"Version 2012 ; 30/03/2012";;15;;;;;;;
565;01.02.04;ALT+085;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
566;01.02.04;ALT+085;entretien clinique, groupe de parole, thérapie familiale, groupe de relaxation;;;N;;;;;;;;;;;;;;;;;;;
567;01.02.04;ALT+085;engagement de chaque patient et/ou de son entourage dans une alliance thérapeutique et établissement d'un contrat de soins explicite;;;N;;;;;;;;;;;;;;;;;;;
568;01.02.04;ALT+085;construction d'hypothèses diagnostiques psychopathologiques et psychologiques;;;N;;;;;;;;;;;;;;;;;;;
569;01.02.04;ALT+085;développement d'une compréhension évolutive et empathique du patient;;;N;;;;;;;;;;;;;;;;;;;
570;01.02.04;ALT+085;ajustement et actualisation des hypothèses selon l'évolution;;;N;;;;;;;;;;;;;;;;;;;
571;01.02.04;ALT+085;mise en place et analyse de processus relationnel construit grâce à des attitudes psychothérapeutiques et fondé sur la dynamique de groupe;;;N;;;;;;;;;;;;;;;;;;;
572;01.02.04;ZGT+251;Entretien d'aide à la prise de conscience des limites des capacités liées au handicap;;"XH;ZV";L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;11;;;;;;;131
573;01.02.04;ZGT+251;Codage : cet acte ne peut être codé que s'il est réalisé isolément;;;N;;;;;;;;;;;;;;;;;;;
574;01.02.04;ZGT+251;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
575;01.02.04;ZGT+251;prévention des situations à risque liées à la négligence des déficiences et à leurs facteurs limitants;;;N;;;;;;;;;;;;;;;;;;;
576;01.02.04;ZGT+251;proposition d'alternative à la réalisation des activités habituelles;;;N;;;;;;;;;;;;;;;;;;;
577;01.02.04;ZGT+251;réalisation d'exercices pratiques alternant les activités limitantes, facilitatrices et créatives pour faire évoluer le mode de relation à soi et à l'environnement;;;N;;;;;;;;;;;;;;;;;;;
578;01.02.04;ZGR+054;Séance d'apprentissage des soins de développement de l'enfant de moins de 3 ans;;;L;Peut, au plus,  être codé une fois le matin et l'après-midi;M;Modulateur BN supprimé;oui;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;17;;;;;;;
579;01.02.04;ZGR+054;Neonatal individualise développement care and assessement program [nidcap];;;N;;;;;;;;;;;;;;;;;;;
580;01.02.04;ZGR+054;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
581;01.02.04;ZGR+054;appréciation des connaissances sur les soins;;;N;;;;;;;;;;;;;;;;;;;
582;01.02.04;ZGR+054;information, démonstration puis apprentissage du geste à réaliser :;;;N;;;;;;;;;;;;;;;;;;;
583;01.02.04;ZGR+054;réalisation de bain enveloppé pour les bébés;;;N2;;;;;;;;;;;;;;;;;;;
584;01.02.04;ZGR+054;respect du temps de sommeil de l'enfant;;;N2;;;;;;;;;;;;;;;;;;;
585;01.02.04;ZGR+054;réalisation des soins sur les temps d'éveil de l'enfant;;;N2;;;;;;;;;;;;;;;;;;;
586;01.02.04;ZGR+054;réduction de l'intensité lumineuse et limitation ou réduction des bruits parasites au moment des soins;;;N2;;;;;;;;;;;;;;;;;;;
587;01.02.04;ZGR+054;éviter les interactions avec des personnes non concernées par les soins;;;N2;;;;;;;;;;;;;;;;;;;
588;01.02.04;ZGR+054;utilisation de techniques non médicamenteuses pour effectuer les soins « d'inconfort »;;;N2;;;;;;;;;;;;;;;;;;;
589;01.02.04;ZGR+054;observation de la tolérance aux soins, reconnaissance des signes d'inconfort, de stress ou de fatigue et adaptation de la durée des soins en fonction;;;N2;;;;;;;;;;;;;;;;;;;
590;01.02.04;ZGR+054;installation de confort;;;N2;;;;;;;;;;;;;;;;;;;
591;01.02.04;ZGR+054;accompagnement de l'enfant vers l'apaisement à chaque fin de soins;;;N2;;;;;;;;;;;;;;;;;;;
592;01.02.04;ZGT+069;Accompagnement de la relation parent-enfant;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;34;;;;;;;
593;01.02.04;ZGT+069;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
594;01.02.04;ZGT+069;aide au développement du processus d'attachement parental;;;N;;;;;;;;;;;;;;;;;;;
595;01.02.04;ZGT+069;enseignement des soins à donner;;;N;;;;;;;;;;;;;;;;;;;
596;01.02.04;ZGT+069;aide à la compréhension des besoins de l'enfant et à l'apport de réponses adéquates;;;N;;;;;;;;;;;;;;;;;;;
597;01.02.04;ZGT+069;accompagnement du parent dans les soins de l'enfant;;;N;;;;;;;;;;;;;;;;;;;
598;01.02.04;ZGT+162;Accompagnement à la parentalité;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;34;;;;;;;
599;01.02.04;ZGT+162;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
600;01.02.04;ZGT+162;observation de la relation parents-enfants dans différentes situations : alimentation, soins quotidiens, activités d'éveil;;;N;;;;;;;;;;;;;;;;;;;
601;01.02.04;ZGT+162;appréciation des difficultés des parents à établir une relation avec leur enfant;;;N;;;;;;;;;;;;;;;;;;;
602;01.02.04;ZGT+162;incitation des parents à réaliser les soins de leur enfant;;;N;;;;;;;;;;;;;;;;;;;
603;01.02.04;ZGT+162;concertation pluridisciplinaire sur les interactions parents-enfants observées pour élaborer ou réajuster le projet de soins;;;N;;;;;;;;;;;;;;;;;;;
604;01.02.04;ZGT+162;donner un temps d'écoute aux parents;;;N;;;;;;;;;;;;;;;;;;;
605;01.02.04;ZGT+100;Accompagnement de la séparation parent-enfant;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;34;;;;;;;
606;01.02.04;ZGT+100;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
607;01.02.04;ZGT+100;valorisation des bénéfices attendus de la séparation pour les parents et l'enfant;;;N;;;;;;;;;;;;;;;;;;;
608;01.02.04;ZGT+100;conservation de la place des parents auprès de leur enfant en les associant aux décisions le concernant;;;N;;;;;;;;;;;;;;;;;;;
609;01.02.04;ZGT+100;favoriser la verbalisation des sentiments des parents et de l'enfant;;;N;;;;;;;;;;;;;;;;;;;
610;01.02.04;ZGT+100;aide à l'adaptation de l'enfant à son nouvel environnement;;;N;;;;;;;;;;;;;;;;;;;
611;01.02.04;ZGT+100;favoriser le maintien du lien parent-enfant par les visites, l'élaboration d'un livre de vie, la participation aux soins;;;N;;;;;;;;;;;;;;;;;;;
612;01.02.04;ZGT+100;évaluation objective de la tolérance à la séparation des parents et de l'enfant;;;N;;;;;;;;;;;;;;;;;;;
613;01.02.04;ZZR+145;Séance individuelle de relaxation;;QM;L;"Peut, au plus,  être codé une fois le matin et l'après-midi, sans le modulateur QM ;
Peut, au plus,  être codé une fois le matin et l'après-midi, avec le modulateur QM ;";;Modulateur BN supprimé;oui;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;27;;;;;;27;
614;01.02.04;ZZR+145;Codage : cet acte ne peut être codé que s'il est réalisé isolément;;;N;;;;;;;;;;;;;;;;;;;
615;01.02.04;ZZR+145;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
616;01.02.04;ZZR+145;mobilisation passive;;;N;;;;;;;;;;;;;;;;;;;
617;01.02.04;ZZR+145;exercices statiques et dynamiques pour prise de conscience du fonctionnement psychocorporel;;;N;;;;;;;;;;;;;;;;;;;
618;01.02.04;ZZR+145;renforcement du schéma corporel;;;N;;;;;;;;;;;;;;;;;;;
619;01.02.04;ZZR+145;exercices de différenciation tension-détente;;;N;;;;;;;;;;;;;;;;;;;
620;01.02.04;ZZR+145;apprentissage de l'inhibition motrice volontaire;;;N;;;;;;;;;;;;;;;;;;;
621;01.02.04;ZZR+145;identification des tensions liées au stress et des tensions psychiques;;;N;;;;;;;;;;;;;;;;;;;
622;01.02.04;ZZR+145;toucher thérapeutique;;;N;;;;;;;;;;;;;;;;;;;
623;01.02.04;ZZR+145;exercices de relâchement différentiel;;;N;;;;;;;;;;;;;;;;;;;
624;01.02.04;ZZR+145;expression verbale du patient sur son ressenti corporel et du soignant sur ses constatations;;;N;;;;;;;;;;;;;;;;;;;
625;01.02.04;ZZR+145;expression non verbale du vécu;;;N;;;;;;;;;;;;;;;;;;;
626;01.02.04;ZZR+145;identification et expression des perceptions liées à la variation de l'état tonique;;;N;;;;;;;;;;;;;;;;;;;
627;01.02.04;ZZR+145;entretien centré sur l'auto-entrainement;;;N;;;;;;;;;;;;;;;;;;;
628;01.02.04;ZZR+145;entretien centré sur l'utilisation de la relaxation en situation de vie;;;N;;;;;;;;;;;;;;;;;;;
629;01.02.04;ZZR+145;entretien centré sur les aspects psycho-affectifs liés aux perceptions de tension;;;N;;;;;;;;;;;;;;;;;;;
630;01.02.04;ZZR+145;apprentissage, entrainement et mémorisation en vue d'autonomiser la pratique;;;N;;;;;;;;;;;;;;;;;;;
631;01.02.04;ZZR+028;Séance collective de relaxation;;"QM;TF;LJ";L;"Peut, au plus,  être codé une fois le matin et l'après-midi, sans le modulateur QM ;
Peut, au plus,  être codé une fois le matin et l'après-midi, avec le modulateur QM ;";;Modulateur BN supprimé;oui;non;non;oui;non;non;"Version 2012 ; 30/03/2012";;14;;;;;19;15;
632;01.02.04;ZZR+028;Codage : cet acte ne peut être codé que s'il est réalisé isolément;;;N;;;;;;;;;;;;;;;;;;;
633;01.02.04;ZZR+028;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
634;01.02.04;ZZR+028;apprentissage et entrainement aux méthodes de relaxation active et passive telles que : training autogène de Schultz, sophrologie, méthode Jacobson, eutonie, yoga, méthode Vittoz, Qi-Gong;;;N;;;;;;;;;;;;;;;;;;;
635;01.02.04;ZZR+028;mémorisation des exercices pour autonomisation de la pratique;;;N;;;;;;;;;;;;;;;;;;;
636;02;;FONCTIONS SENSORIELLES ET DOULEUR;;;T;;;;;;;;;;;;;;;;;;;
637;02;;;;;LV;;;;;;;;;;;;;;;;;;;
638;02;;;;;LV;;;;;;;;;;;;;;;;;;;
639;02.01;;Actes d'évaluation à visée de diagnostic et de synthèse des fonctions sensorielles et de la douleur;;;T;;;;;;;;;;;;;;;;;;;
640;02.01;;;;;LV;;;;;;;;;;;;;;;;;;;
641;02.01;;;;;LV;;;;;;;;;;;;;;;;;;;
642;02.01.01;;Actes d'évaluation à visée de diagnostic et de synthèse des fonctions visuelles;;;T;;;;;;;;;;;;;;;;;;;
643;02.01.01;;;;;LV;;;;;;;;;;;;;;;;;;;
644;02.01.01;BLQ+273;Évaluation initiale de la capacité visuelle, oculomotrice, sensorielle, sensitive et/ou motrice d'un patient déficient visuel;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;64;;;;;;;
645;02.01.01;BLQ+273;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
646;02.01.01;BLQ+273;examen fonctionnel de la vision;;;N;;;;;;;;;;;;;;;;;;;
647;02.01.01;BLQ+273;test d'efficacité de lecture avec ou sans aide optique;;;N2;;;;;;;;;;;;;;;;;;;
648;02.01.01;BLQ+273;étude de la capacité de pointage dans l'espace et sur papier, écriture avec ou sans aide optique;;;N2;;;;;;;;;;;;;;;;;;;
649;02.01.01;BLQ+273;étude de la qualité de fixation de loin et de prés;;;N2;;;;;;;;;;;;;;;;;;;
650;02.01.01;BLQ+273;étude de la déviation des axes visuels dans toutes les directions du regard;;;N2;;;;;;;;;;;;;;;;;;;
651;02.01.01;BLQ+273;mesure de l'acuité visuelle de loin et de près;;;N2;;;;;;;;;;;;;;;;;;;
652;02.01.01;BLQ+273;étude des relations binoculaires, motrices, fusionnelles et accommodatives;;;N2;;;;;;;;;;;;;;;;;;;
653;02.01.01;BLQ+273;étude de la coordination œil-main;;;N2;;;;;;;;;;;;;;;;;;;
654;02.01.01;BLQ+273;étude de la vision du relief;;;N2;;;;;;;;;;;;;;;;;;;
655;02.01.01;BLQ+273;étude de l'efficacité visuelle, discrimination, mouvement oculaire;;;N2;;;;;;;;;;;;;;;;;;;
656;02.01.01;BLQ+273;étude de l'organisation spatiale, de la mémoire visuelle;;;N2;;;;;;;;;;;;;;;;;;;
657;02.01.01;BLQ+273;étude de la vision des couleurs;;;N2;;;;;;;;;;;;;;;;;;;
658;02.01.01;BLQ+273;étude de la sensibilité aux contrastes, de la tolérance à la lumière et l'adaptation à l'obscurité;;;N2;;;;;;;;;;;;;;;;;;;
659;02.01.01;BLQ+273;étude de la vision syncrétique;;;N2;;;;;;;;;;;;;;;;;;;
660;02.01.01;BLQ+273;essai de dispositif technique de compensation;;;N;;;;;;;;;;;;;;;;;;;
661;02.01.01;BLQ+273;conseils et information sur l'ergonomie, la posturologie, les stratégies visuelles;;;N;;;;;;;;;;;;;;;;;;;
662;02.01.01;BLQ+037;Évaluation intermédiaire de la capacité visuelle, oculomotrice sensorielle, sensitive et/ou motrice d'un patient déficient visuel;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;44;;;;;;;
663;02.01.01;BLQ+037;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
664;02.01.01;BLQ+037;évaluation focalisée permettant d'apprécier l'évolution de la capacité visuelle, oculomotrice, sensorielle, sensitive et/ou motrice et d'ajuster le programme de rééducation;;;N;;;;;;;;;;;;;;;;;;;
665;02.01.01;BLQ+012;Évaluation finale de la capacité visuelle, oculomotrice sensorielle, sensitive et/ou motrice d'un patient déficient visuel;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;67;;;;;;;
666;02.01.01;BLQ+012;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
667;02.01.01;BLQ+012;évaluation de la capacité visuelle, oculomotrice, sensorielle, sensitive et/ou motrice à la fin de la prise en charge ou à la sortie, pour orientation;;;N;;;;;;;;;;;;;;;;;;;
668;02.01.01;BLQ+155;Évaluation de la tolérance à la lumière;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;44;;;;;;;
669;02.01.01;BLQ+155;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
670;02.01.01;BLQ+155;mise en situation sous différents environnements lumineux;;;N;;;;;;;;;;;;;;;;;;;
671;02.01.01;BLQ+028;Évaluation pour recherche de filtres protecteurs de la vision;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;44;;;;;;;
672;02.01.01;BLQ+028;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
673;02.01.01;BLQ+028;essai de filtres colorés adaptés aux incidences fonctionnelles de la pathologie;;;N;;;;;;;;;;;;;;;;;;;
674;02.01.01;BLQ+028;essai de filtres en intérieur;;;N;;;;;;;;;;;;;;;;;;;
675;02.01.01;BLQ+028;essai de filtres polarisants en extérieur;;;N;;;;;;;;;;;;;;;;;;;
676;02.01.01;BLQ+018;Évaluation initiale de la capacité de déplacement d'un patient déficient visuel;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;78;;;;;;;
677;02.01.01;BLQ+018;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
678;02.01.01;BLQ+018;évaluation des capacités motrices, visuelles;;;N;;;;;;;;;;;;;;;;;;;
679;02.01.01;BLQ+018;évaluation des capacités d'orientation et de représentation mentale;;;N;;;;;;;;;;;;;;;;;;;
680;02.01.01;BLQ+018;observation des stratégies de compensation et d'évitement;;;N;;;;;;;;;;;;;;;;;;;
681;02.01.01;BLQ+018;observation des capacités comportementales et cognitives;;;N;;;;;;;;;;;;;;;;;;;
682;02.01.01;BLQ+137;Évaluation intermédiaire de la capacité de déplacement d'un patient déficient visuel;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;54;;;;;;;
683;02.01.01;BLQ+137;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
684;02.01.01;BLQ+137;évaluation focalisée permettant d'apprécier l'évolution de la rééducation de la capacité de déplacement et d'ajuster le programme de rééducation;;;N;;;;;;;;;;;;;;;;;;;
685;02.01.01;BLQ+272;Évaluation finale de la capacité de déplacement d'un patient déficient visuel;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;77;;;;;;;
686;02.01.01;BLQ+272;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
687;02.01.01;BLQ+272;évaluation de la capacité de déplacement à la fin de la prise en charge ou à la sortie, pour orientation;;;N;;;;;;;;;;;;;;;;;;;
688;02.01.01;;;;;LV;;;;;;;;;;;;;;;;;;;
689;02.01.02;;Actes d'évaluation à visée de diagnostic et de synthèse des fonctions auditives et vestibulaires;;;T;;;;;;;;;;;;;;;;;;;
690;02.01.02;;;;;LV;;;;;;;;;;;;;;;;;;;
691;02.01.02;CDQ+147;Évaluation initiale de l'audition;;;L;;M;Modulateur BN supprimé;;oui;non;non;non;non;"Version 2012 ; 30/03/2012";;64;;;;;;;
692;02.01.02;CDQ+147;Cet acte comprend :;;;N;;;;;;;;;;;;;;;;;;;
